,Code,ASJC category,Subject area
0,1000,Multidisciplinary,Multidisciplinary
1,1100,General Agricultural and Biological Sciences,Life Sciences
2,1101,Agricultural and Biological Sciences (miscellaneous),Life Sciences
3,1102,Agronomy and Crop Science,Life Sciences
4,1103,Animal Science and Zoology,Life Sciences
5,1104,Aquatic Science,Life Sciences
6,1105,"Ecology, Evolution, Behavior and Systematics",Life Sciences
7,1106,Food Science,Life Sciences
8,1107,Forestry,Life Sciences
9,1108,Horticulture,Life Sciences
10,1109,Insect Science,Life Sciences
11,1110,Plant Science,Life Sciences
12,1111,Soil Science,Life Sciences
13,1200,General Arts and Humanities,Social Sciences & Humanities
14,1201,Arts and Humanities (miscellaneous),Social Sciences & Humanities
15,1202,History,Social Sciences & Humanities
16,1203,Language and Linguistics,Social Sciences & Humanities
17,1204,Archeology (arts and humanities),Social Sciences & Humanities
18,1205,Classics,Social Sciences & Humanities
19,1206,Conservation,Social Sciences & Humanities
20,1207,History and Philosophy of Science,Social Sciences & Humanities
21,1208,Literature and Literary Theory,Social Sciences & Humanities
22,1209,Museology,Social Sciences & Humanities
23,1210,Music,Social Sciences & Humanities
24,1211,Philosophy,Social Sciences & Humanities
25,1212,Religious Studies,Social Sciences & Humanities
26,1213,Visual Arts and Performing Arts,Social Sciences & Humanities
27,1300,"General Biochemistry, Genetics and Molecular Biology",Life Sciences
28,1301,"Biochemistry, Genetics and Molecular Biology (miscellaneous)",Life Sciences
29,1302,Aging,Life Sciences
30,1303,Biochemistry,Life Sciences
31,1304,Biophysics,Life Sciences
32,1305,Biotechnology,Life Sciences
33,1306,Cancer Research,Life Sciences
34,1307,Cell Biology,Life Sciences
35,1308,Clinical Biochemistry,Life Sciences
36,1309,Developmental Biology,Life Sciences
37,1310,Endocrinology,Life Sciences
38,1311,Genetics,Life Sciences
39,1312,Molecular Biology,Life Sciences
40,1313,Molecular Medicine,Life Sciences
41,1314,Physiology,Life Sciences
42,1315,Structural Biology,Life Sciences
43,1400,"General Business, Management and Accounting",Social Sciences & Humanities
44,1401,"Business, Management and Accounting (miscellaneous)",Social Sciences & Humanities
45,1402,Accounting,Social Sciences & Humanities
46,1403,Business and International Management,Social Sciences & Humanities
47,1404,Management Information Systems,Social Sciences & Humanities
48,1405,Management of Technology and Innovation,Social Sciences & Humanities
49,1406,Marketing,Social Sciences & Humanities
50,1407,Organizational Behavior and Human Resource Management,Social Sciences & Humanities
51,1408,Strategy and Management,Social Sciences & Humanities
52,1409,"Tourism, Leisure and Hospitality Management",Social Sciences & Humanities
53,1410,Industrial Relations,Social Sciences & Humanities
54,1500,General Chemical Engineering,Physical Sciences
55,1501,Chemical Engineering (miscellaneous),Physical Sciences
56,1502,Bioengineering,Physical Sciences
57,1503,Catalysis,Physical Sciences
58,1504,Chemical Health and Safety,Physical Sciences
59,1505,Colloid and Surface Chemistry,Physical Sciences
60,1506,Filtration and Separation,Physical Sciences
61,1507,Fluid Flow and Transfer Processes,Physical Sciences
62,1508,Process Chemistry and Technology,Physical Sciences
63,1600,General Chemistry,Physical Sciences
64,1601,Chemistry (miscellaneous),Physical Sciences
65,1602,Analytical Chemistry,Physical Sciences
66,1603,Electrochemistry,Physical Sciences
67,1604,Inorganic Chemistry,Physical Sciences
68,1605,Organic Chemistry,Physical Sciences
69,1606,Physical and Theoretical Chemistry,Physical Sciences
70,1607,Spectroscopy,Physical Sciences
71,1700,General Computer Science,Physical Sciences
72,1701,Computer Science (miscellaneous),Physical Sciences
73,1702,Artificial Intelligence,Physical Sciences
74,1703,Computational Theory and Mathematics,Physical Sciences
75,1704,Computer Graphics and Computer-Aided Design,Physical Sciences
76,1705,Computer Networks and Communications,Physical Sciences
77,1706,Computer Science Applications,Physical Sciences
78,1707,Computer Vision and Pattern Recognition,Physical Sciences
79,1708,Hardware and Architecture,Physical Sciences
80,1709,Human-Computer Interaction,Physical Sciences
81,1710,Information Systems,Physical Sciences
82,1711,Signal Processing,Physical Sciences
83,1712,Software,Physical Sciences
84,1800,General Decision Sciences,Social Sciences & Humanities
85,1801,Decision Sciences (miscellaneous),Social Sciences & Humanities
86,1802,Information Systems and Management,Social Sciences & Humanities
87,1803,Management Science and Operations Research,Social Sciences & Humanities
88,1804,"Statistics, Probability and Uncertainty",Social Sciences & Humanities
89,1900,General Earth and Planetary Sciences,Physical Sciences
90,1901,Earth and Planetary Sciences (miscellaneous),Physical Sciences
91,1902,Atmospheric Science,Physical Sciences
92,1903,Computers in Earth Sciences,Physical Sciences
93,1904,Earth-Surface Processes,Physical Sciences
94,1905,Economic Geology,Physical Sciences
95,1906,Geochemistry and Petrology,Physical Sciences
96,1907,Geology,Physical Sciences
97,1908,Geophysics,Physical Sciences
98,1909,Geotechnical Engineering and Engineering Geology,Physical Sciences
99,1910,Oceanography,Physical Sciences
100,1911,Paleontology,Physical Sciences
101,1912,Space and Planetary Science,Physical Sciences
102,1913,Stratigraphy,Physical Sciences
103,2000,"General Economics, Econometrics and Finance",Social Sciences & Humanities
104,2001,"Economics, Econometrics and Finance (miscellaneous)",Social Sciences & Humanities
105,2002,Economics and Econometrics,Social Sciences & Humanities
106,2003,Finance,Social Sciences & Humanities
107,2100,General Energy,Physical Sciences
108,2101,Energy (miscellaneous),Physical Sciences
109,2102,Energy Engineering and Power Technology,Physical Sciences
110,2103,Fuel Technology,Physical Sciences
111,2104,Nuclear Energy and Engineering,Physical Sciences
112,2105,"Renewable Energy, Sustainability and the Environment",Physical Sciences
113,2200,General Engineering,Physical Sciences
114,2201,Engineering (miscellaneous),Physical Sciences
115,2202,Aerospace Engineering,Physical Sciences
116,2203,Automotive Engineering,Physical Sciences
117,2204,Biomedical Engineering,Physical Sciences
118,2205,Civil and Structural Engineering,Physical Sciences
119,2206,Computational Mechanics,Physical Sciences
120,2207,Control and Systems Engineering,Physical Sciences
121,2208,Electrical and Electronic Engineering,Physical Sciences
122,2209,Industrial and Manufacturing Engineering,Physical Sciences
123,2210,Mechanical Engineering,Physical Sciences
124,2211,Mechanics of Materials,Physical Sciences
125,2212,Ocean Engineering,Physical Sciences
126,2213,"Safety, Risk, Reliability and Quality",Physical Sciences
127,2214,Media Technology,Physical Sciences
128,2215,Building and Construction,Physical Sciences
129,2216,Architecture,Physical Sciences
130,2300,General Environmental Science,Physical Sciences
131,2301,Environmental Science (miscellaneous),Physical Sciences
132,2302,Ecological Modeling,Physical Sciences
133,2303,Ecology,Physical Sciences
134,2304,Environmental Chemistry,Physical Sciences
135,2305,Environmental Engineering,Physical Sciences
136,2306,Global and Planetary Change,Physical Sciences
137,2307,"Health, Toxicology and Mutagenesis",Physical Sciences
138,2308,"Management, Monitoring, Policy and Law",Physical Sciences
139,2309,Nature and Landscape Conservation,Physical Sciences
140,2310,Pollution,Physical Sciences
141,2311,Waste Management and Disposal,Physical Sciences
142,2312,Water Science and Technology,Physical Sciences
143,2400,General Immunology and Microbiology,Life Sciences
144,2401,Immunology and Microbiology (miscellaneous),Life Sciences
145,2402,Applied Microbiology and Biotechnology,Life Sciences
146,2403,Immunology,Life Sciences
147,2404,Microbiology,Life Sciences
148,2405,Parasitology,Life Sciences
149,2406,Virology,Life Sciences
150,2500,General Materials Science,Physical Sciences
151,2501,Materials Science (miscellaneous),Physical Sciences
152,2502,Biomaterials,Physical Sciences
153,2503,Ceramics and Composites,Physical Sciences
154,2504,"Electronic, Optical and Magnetic Materials",Physical Sciences
155,2505,Materials Chemistry,Physical Sciences
156,2506,Metals and Alloys,Physical Sciences
157,2507,Polymers and Plastics,Physical Sciences
158,2508,"Surfaces, Coatings and Films",Physical Sciences
159,2600,General Mathematics,Physical Sciences
160,2601,Mathematics (miscellaneous),Physical Sciences
161,2602,Algebra and Number Theory,Physical Sciences
162,2603,Analysis,Physical Sciences
163,2604,Applied Mathematics,Physical Sciences
164,2605,Computational Mathematics,Physical Sciences
165,2606,Control and Optimization,Physical Sciences
166,2607,Discrete Mathematics and Combinatorics,Physical Sciences
167,2608,Geometry and Topology,Physical Sciences
168,2609,Logic,Physical Sciences
169,2610,Mathematical Physics,Physical Sciences
170,2611,Modeling and Simulation,Physical Sciences
171,2612,Numerical Analysis,Physical Sciences
172,2613,Statistics and Probability,Physical Sciences
173,2614,Theoretical Computer Science,Physical Sciences
174,2700,General Medicine,Health Sciences
175,2701,Medicine (miscellaneous),Health Sciences
176,2702,Anatomy,Health Sciences
177,2703,Anesthesiology and Pain Medicine,Health Sciences
178,2704,Biochemistry (medical),Health Sciences
179,2705,Cardiology and Cardiovascular Medicine,Health Sciences
180,2706,Critical Care and Intensive Care Medicine,Health Sciences
181,2707,Complementary and Alternative Medicine,Health Sciences
182,2708,Dermatology,Health Sciences
183,2709,Drug Guides,Health Sciences
184,2710,Embryology,Health Sciences
185,2711,Emergency Medicine,Health Sciences
186,2712,"Endocrinology, Diabetes and Metabolism",Health Sciences
187,2713,Epidemiology,Health Sciences
188,2714,Family Practice,Health Sciences
189,2715,Gastroenterology,Health Sciences
190,2716,Genetics (clinical),Health Sciences
191,2717,Geriatrics and Gerontology,Health Sciences
