,references_count,citations_count,title,author,doi
0,0.0,0.0,"Corrigendum to “Effects of salt on the LLE and tie-line data for furfuryl alcohol - n-butanol-water at T = 298.15 K” [J. Mol. Liq. 218 (2016) 50–58] (Effects of salt on the LLE and tie-line data for furfuryl alcohol — n-butanol–water at T=298.15K (2016) 218 (50–58), (S0167732215309028) (10.1016/j.molliq.2016.02.027))","[{'ce:given-name': 'Thanaporn', 'preferred-name': {'ce:given-name': 'Thanaporn', 'ce:initials': 'T.', 'ce:surname': 'Wannachod', 'ce:indexed-name': 'Wannachod T.'}, '@seq': '1', 'ce:initials': 'T.', '@_fa': 'true', 'affiliation': {'@id': '60028190', '@href': 'https://api.elsevier.com/content/affiliation/affiliation_id/60028190'}, 'ce:surname': 'Wannachod', '@auid': '55827550300', 'author-url': 'https://api.elsevier.com/content/author/author_id/55827550300', 'ce:indexed-name': 'Wannachod T.'}]",10.1016/j.molliq.2018.08.156
1,0.0,0.0,ECG Quiz,"[{'ce:given-name': 'Chollada', 'preferred-name': {'ce:given-name': 'Chollada', 'ce:initials': 'C.', 'ce:surname': 'Buranakarl', 'ce:indexed-name': 'Buranakarl C.'}, '@seq': '1', 'ce:initials': 'C.', '@_fa': 'true', 'affiliation': {'@id': '60028190', '@href': 'https://api.elsevier.com/content/affiliation/affiliation_id/60028190'}, 'ce:surname': 'Buranakarl', '@auid': '6603136718', 'author-url': 'https://api.elsevier.com/content/author/author_id/6603136718', 'ce:indexed-name': 'Buranakarl C.'}]",
2,,,Message from General Chairs,"[{'ce:given-name': 'Somying', 'preferred-name': {'ce:given-name': 'Somying', 'ce:initials': 'S.', 'ce:surname': 'Thainimit', 'ce:indexed-name': 'Thainimit S.'}, '@seq': '1', 'ce:initials': 'S.', '@_fa': 'true', 'affiliation': [{'@id': '60021944', '@href': 'https://api.elsevier.com/content/affiliation/affiliation_id/60021944'}, {'@id': '60000251', '@href': 'https://api.elsevier.com/content/affiliation/affiliation_id/60000251'}], 'ce:degrees': 'Dr., Prof.', 'ce:surname': 'Thainimit', '@auid': '14008746700', 'author-url': 'https://api.elsevier.com/content/author/author_id/14008746700', 'ce:indexed-name': 'Thainimit S.'}]",10.1109/WIECON-ECE.2018.8783117
3,42.0,3.0,Determining the amphipol distribution within membrane-protein fibre samples using small-angle neutron scattering,"[{'ce:given-name': 'Wanatchaporn', 'preferred-name': {'ce:given-name': 'Wanatchaporn', 'ce:initials': 'W.', 'ce:surname': 'Arunmanee', 'ce:indexed-name': 'Arunmanee W.'}, '@seq': '1', 'ce:initials': 'W.', '@_fa': 'true', 'affiliation': [{'@id': '60028190', '@href': 'https://api.elsevier.com/content/affiliation/affiliation_id/60028190'}, {'@id': '60006222', '@href': 'https://api.elsevier.com/content/affiliation/affiliation_id/60006222'}], 'ce:surname': 'Arunmanee', '@auid': '56045411200', 'author-url': 'https://api.elsevier.com/content/author/author_id/56045411200', 'ce:indexed-name': 'Arunmanee W.'}]",10.1107/S205979831800476X
4,30.0,9.0,Long-term effectiveness of omalizumab treatment in Thai severe asthmatic patients: A real-life experience,"[{'ce:given-name': 'Theerasuk', 'preferred-name': {'ce:given-name': 'Theerasuk', 'ce:initials': 'T.', 'ce:surname': 'Kawamatawong', 'ce:indexed-name': 'Kawamatawong T.'}, '@seq': '1', 'ce:initials': 'T.', '@_fa': 'true', 'affiliation': {'@id': '60199578', '@href': 'https://api.elsevier.com/content/affiliation/affiliation_id/60199578'}, 'ce:surname': 'Kawamatawong', '@auid': '6506489213', 'author-url': 'https://api.elsevier.com/content/author/author_id/6506489213', 'ce:indexed-name': 'Kawamatawong T.'}]",10.12932/AP0872
5,32.0,14.0,Randomized comparison of caregivers' ability to use epinephrine autoinjectors and prefilled syringes for anaphylaxis,"[{'ce:given-name': 'Panadda', 'preferred-name': {'ce:given-name': 'Panadda', 'ce:initials': 'P.', 'ce:surname': 'Suwan', 'ce:indexed-name': 'Suwan P.'}, '@seq': '1', 'ce:initials': 'P.', '@_fa': 'true', 'affiliation': {'@id': '60020352', '@href': 'https://api.elsevier.com/content/affiliation/affiliation_id/60020352'}, 'ce:surname': 'Suwan', '@auid': '57225297556', 'author-url': 'https://api.elsevier.com/content/author/author_id/57225297556', 'ce:indexed-name': 'Suwan P.'}]",10.12932/AP-020318-0275
6,34.0,23.0,Effects of aerobic exercise and vitamin C supplementation on rhinitis symptoms in allergic rhinitis patients,"[{'ce:given-name': 'Wannaporn', 'preferred-name': {'ce:given-name': 'Wannaporn', 'ce:initials': 'W.', 'ce:surname': 'Tongtako', 'ce:indexed-name': 'Tongtako W.'}, '@seq': '1', 'ce:initials': 'W.', '@_fa': 'true', 'affiliation': {'@id': '60028190', '@href': 'https://api.elsevier.com/content/affiliation/affiliation_id/60028190'}, 'ce:surname': 'Tongtako', '@auid': '57213731117', 'author-url': 'https://api.elsevier.com/content/author/author_id/57213731117', 'ce:indexed-name': 'Tongtako W.'}]",10.12932/AP-040417-0066
7,26.0,1.0,First episode of preschool wheeze requiring hospitalization:a prospective study on the chance of recurrence and associated factors,"[{'ce:given-name': 'Karaked', 'preferred-name': {'ce:given-name': 'Karaked', 'ce:initials': 'K.', 'ce:surname': 'Chantawarangul', 'ce:indexed-name': 'Chantawarangul K.'}, '@seq': '1', 'ce:initials': 'K.', '@_fa': 'true', 'affiliation': {'@id': '60028190', '@href': 'https://api.elsevier.com/content/affiliation/affiliation_id/60028190'}, 'ce:surname': 'Chantawarangul', '@auid': '57205251499', 'author-url': 'https://api.elsevier.com/content/author/author_id/57205251499', 'ce:indexed-name': 'Chantawarangul K.'}]",10.12932/AP-090217-0011
8,0.0,0.0,Corrigendum to “Simplified two-group two-fluid model for three-dimensional two-phase flow computational fluid dynamics for vertical upward flow” [Prog. Nucl. Energy 108 (2018) 503–516] (S0149197017303037) (10.1016/j.pnucene.2017.12.003)),"[{'ce:given-name': 'Takashi', 'preferred-name': {'ce:given-name': 'Takashi', 'ce:initials': 'T.', 'ce:surname': 'Hibiki', 'ce:indexed-name': 'Hibiki T.'}, '@seq': '1', 'ce:initials': 'T.', '@_fa': 'true', 'affiliation': {'@id': '60009254', '@href': 'https://api.elsevier.com/content/affiliation/affiliation_id/60009254'}, 'ce:surname': 'Hibiki', '@auid': '56133451600', 'author-url': 'https://api.elsevier.com/content/author/author_id/56133451600', 'ce:indexed-name': 'Hibiki T.'}]",10.1016/j.pnucene.2018.08.012
9,0.0,0.0,Introducing the new “Movement Disorders Rounds”,"[{'ce:given-name': 'Tiago A.', 'preferred-name': {'ce:given-name': 'Tiago A.', 'ce:initials': 'T.A.', 'ce:surname': 'Mestre', 'ce:indexed-name': 'Mestre T.A.'}, '@seq': '1', 'ce:initials': 'T.A.', '@_fa': 'true', 'affiliation': {'@id': '60002173', '@href': 'https://api.elsevier.com/content/affiliation/affiliation_id/60002173'}, 'ce:degrees': 'MD MSc', 'ce:surname': 'Mestre', '@auid': '57202566818', 'author-url': 'https://api.elsevier.com/content/author/author_id/57202566818', 'ce:indexed-name': 'Mestre T.A.'}]",10.1016/j.parkreldis.2018.09.024
