,href_to_journal
0,publication/327521409_Corrigendum_to_Effects_of_salt_on_the_LLE_and_tie-line_data_for_furfuryl_alcohol_-_n-butanol-water_at_T_29815_K_J_Mol_Liq_218_2016_50-58?_sg=oPC_nbfIKIBSzsCPO3lslyc1_JkpkZWpqf6XznB-9VsW2WeM37fAVgcuIt9ZT6025-qS7pXiSclnwMY
1,publication/373362635_ECG_Quiz?_sg=20PefgB10soVOI3bItnEhuwT0IZlFLaAY7PLToOxNZB9PSSr9rv4WsiwbOtFxvbVXO9J_ulqe-2Lxjw
2,
3,publication/329328707_Determining_the_amphipol_distribution_within_membrane-protein_fibre_samples_using_small-angle_neutron_scattering?_sg=YTPxl4LDIGYnpdBEQ59k0bPnKLnPvVgxA2aD4ILq3q4zAXQabbgWPOZU6KI3iYe59VRTwIDxgJXJw58
4,publication/321226204_Long-term_effectiveness_of_omalizumab_treatment_in_Thai_severe_asthmatic_patients_A_real-life_experience?_sg=bVqRm_RYkLTLF7fQamTZrf_RMnm98enRGx_bOCg34o8lG4WsVX3fUqZCBOcuABlbslzNY8N5VLTKt9o
5,publication/326302116_Randomized_comparison_of_Caregivers%27_ability_to_use_Epinephrine_Autoinjectors_and_Prefilled_Syringes_for_anaphylaxis?_sg=VaRsE2AY08Rb-Q_MKXm1UFQNvxD8ppoMcwMepB-6W5aYQ8U41iJsiz_uAERRMgvi7Za06a2RoRyW27E
6,publication/327102298_Effects_of_aerobic_exercise_and_vitamin_C_supplementation_on_rhinitis_symptoms_in_allergic_rhinitis_patients?_sg=sA3g2i3umXygFzZ-cjbVZXAviXww-_BPLzzqt6hOISnxLtgSsFDDFmoU0L35ZjQnFTiiBo2Zh6xWwEs
7,publication/320011030_First_episode_of_preschool_wheeze_requiring_hospitalization_a_prospective_study_on_the_chance_of_recurrence_and_associated_factors?_sg=efKm5V7Zj004myWUzLoLdHkI33CKtWPCKs6s5Wk69iUfChGkARUNj3eUjj7_EXKm1ukY_iv4KsBu3t0
8,publication/328664792_Corrigendum_to_Simplified_two-group_two-fluid_model_for_three-dimensional_two-phase_flow_computational_fluid_dynamics_for_vertical_upward_flow_Prog_Nucl_Energy_108_2018_503-516?_sg=xgx3rPKfnRQq-zZ56lysW8u9jatLYCL06HxH7Xr_1MT8YKtUTVln_1z3qhJe_3YGzoDx_IbI7jHNQHQ
9,publication/328719465_Introducing_the_new_Movement_Disorders_Rounds?_sg=QhKmDIfenl6VhEgq4Oyw4Qf96yokKx7KvC939wCKpOfj6f2Gii6llwAtlqcJTTGkTfwa_MXhqRQdNBk
10,publication/327978889_Physician_professionalism_definition_from_a_generation_perspective?_sg=qtgtp-rm5SxE3iyh06S2A-5FGsYqWhrnlsVICjk1WVqPWcrf8mPuhKel8njRpOaNi_RtHTEun_ekgyo
11,
12,publication/329984953_China_Studies_In_South_And_Southeast_Asia_Between_Pro-china_And_Objectivism?_sg=RXZOT4Hi6yW5g1RYBeXWKQQ5TP0pZTExDC9DbDQ-0Mrhra0tIxSA9mG4N55Ian_y0_gqj3P4aPf4Bk0
13,publication/385094172_Preface_3rd_International_Humanitarian_Conference?_sg=LQjTeaQ3jM4_K5ahMmtKZGS5omxJTM7nbzontdC080Wyc9JuXhCwGwHMqcvGdCqSVKKOZtkZ8jeVPaU
14,
15,
16,
17,publication/327194803_Tenofovir_Versus_Placebo_to_Prevent_Perinatal_Transmission_of_Hepatitis_B?_sg=oEXruiCWeFawByQgj4MDwdudagoxRg2mJ56hBm1Y9FCl-c1G2uu5SMPyS3OYQeQNFouJmR28P6fTQ9A
18,publication/326684294_Why_Cochrane_should_prioritise_sharing_data?_sg=t4HHixzwJrwaBhoDtKGD0gLfdPL-hUtWDjn0fnPWWv1xGEag7vPCChXc03A3KHxgn_nnO4wA1lTCjR8
19,publication/326101695_Retraction_notice_to_The_solubility_of_maleic_acid_in_various_inorganic_salts_and_organic_solvents_Thermodynamics_model_and_parameters_Fluid_Phase_Equilibria_volume_450_2018_75-85?_sg=cAlHMERTlJgvPOrpIht-rgaLeen6lb1xwY-zxCeN-M_tXPrPLuNWV2NKjhOfZOuR9DbmXO4q4a36YlY
20,publication/327311157_International_Relations_as_a_Discipline_in_Thailand_Theory_and_Sub-fields?_sg=39y_Tb379Snp6AJMZr0DIkIHaCLHiRPv0PdwdfeaaIxo3_rAwK3nlvU2w0WWCtBO5xyCghe3Vze1MlU
21,publication/328298618_The_long_reach_of_English_law_a_case_of_incidental_transplantation_of_the_English_law_concept_of_vicarious_liability_into_Thailand%27s_Civil_and_Commercial_Code?_sg=8c3sFfphoUSVOPX9nca8-9wKKFizkgMfHawAncTCNJmtslA0uAbFN-PXRB-dUfRneZLieUngnEiRsog
22,publication/325993980_Erratum_to_Optimal_Design_of_Reinforced_Concrete_Cantilever_Retaining_Walls_Considering_the_Requirement_of_Slope_Stability?_sg=Mp6_fuqba-ZSbkFAH4FO0Zpv_DtJ4IstgSBQsKJuVjKeE7CxZEd_p3qH1BxvmtxwX5LON8BF-3gHRo0
23,
24,publication/325798976_Measurement_of_differential_cross_sections_for_the_production_of_top_quark_pairs_and_of_additional_jets_in_lepton_jets_events_from_p_p_collisions_at_s_13_TeV?_sg=jfc2gACfh12bnDIhEAmFyQyxmVJj-mwLZ0EsC7sqG_72xi8HGE3mC5uhVvat5Y_SdONNm3mXuYUEzgk
25,publication/326655798_Measuring_the_torque_on_the_terminal_end_of_an_archwire?_sg=bscXZZjAB0hAUB92fLJjsmQwJFc2N9t84KRMTRgfuFqIlfX5ql2lmye7PHbqftj_daPgpGd-wJ5OFuE
26,publication/327362867_ECG_quiz?_sg=EgeNLm0dBxR-EJhlgACXHInN6JHiw1NsmZE_4NZ9J0dbLorGLVrWzgTW2MmTLSxNWlmcPEM50iavBDQ
27,
28,
29,
30,
31,publication/325128971_Immediate_effects_of_temporary_bite-raising_with_light-cured_orthodontic_band_cement_on_the_electromyographic_response_of_masticatory_muscles?_sg=anhP6ercmtiVUOOm1n9kIjLrCGpAjiskZCMJH4n5D47BSD8kzUdCl6XLPzbinEqbahVlYCNCh4gdjGM
32,publication/323663154_The_Authors_Reply?_sg=UDGVFcuRyPLOyLgjqCQdI7m1t80QD-MjP7cpa_LnBP9tEYtnoy_5hX7Y37wF4KW2icj8VArUpFcVaNQ
33,publication/324832186_Developing_academic_cancer_immunotherapy_in_Asia-Lessons_challenges_and_a_vision_for_Thailand?_sg=J-3apt7BF7ufmkKjASG6vjLP5DM0ONw5y-aZ6_VCMVfGVEAKLfwyWNqQGi3AgDmWJJwLyTqKqLgOEV0
34,publication/327362867_ECG_quiz?_sg=Sv3CzkMC2Ki7eF5u15gT1Dk_avZTq9d-sK9eloBBWJLgo0gzb5LeAv_NjWI6sj4uHKcVZOHZcqQyYto
35,publication/323487075_Editorial_introduction_to_the_special_issue_Aqua_species_immunity?_sg=8356Ib6swRJQV7IB2A8tV17SQHPfFw7tTBD7JpT257n4YURh202kaenEV2wFbNmv3Ks2mYF_LtuqfOw
36,publication/320406638_Lesion_quistica_paratiroidea_como_causa_de_hipercalcemia?_sg=gGKqT8lk9URviHdYG4Apj7WCI-iiz2wSHDNhfEzcD0KKQ0Hn_n3gUQ4G2qlLf8bfPwdJoKL0jcJ2x5Y
37,publication/326703877_Addendum_A_Comparison_of_Angular_Values_of_the_Pelvic_Limb_with_Normal_and_Medial_Patellar_Luxation_Stifles_in_Chihuahua_Dogs_Using_Radiography_and_Computed_Tomography?_sg=Zz8ipbstDgJWEhzz_mg6nhoiEmyU9fSIWE3FOGOTvUoHidT0v1bL9nSmxfhy_p4Xet-K5HxiOvEk22s
38,publication/321150732_Driving_a_Firm%27s_Agility_and_Success_of_Product_Innovation_Through_Organizational_Behavior_An_Abstract?_sg=DTi9TG8RSLy9vlg8P9D3WrVrcd-SXpkQZD99plmT7fZfGj5dNsPocv0L37DYiEOjDB-GKDnF7IRWEU4
39,publication/327589253_Fitting_rotation_curves_of_galaxies_by_de_Rham-Gabadadze-Tolley_massive_gravity?_sg=39ikWazQKP-cMySfXHTVWlMl6yFcabTUa9CziERs0RI35uFdCs1rSofpyZDq3Io-n1aapnv-eXz2tWI
40,
41,
42,publication/345065031_Beyond_bullies_and_victims_a_systemic_approach_to_tackling_school_bullying?_sg=0Va8ebSZTtNhGMhgbM1eknzB1YhNbYH8IRD38jecqeBVolsoRSyTrizJu32oODgHwUNCbRWGFV6HUBY
43,publication/327040772_Efficacy_and_Validation_of_a_Simulation-Based_Compartment_Syndrome_Instructional_Course?_sg=XCeQIcyZIHWYBkZbKay0Dc6LoEgUJgzyEUBeyhzRMaCXpn_v2fef3SeQulozP5QgTJ_SxCAjzRxn81Y
44,publication/325189999_Human_MicroRNAs_Expression_Profiles_in_Influenza_B_Virus-Infected_Cells_based_on_Illumina_MiSeq_Platform?_sg=O91vBFXf34LE4D02ewl5yNq9e9kWsvap16Cyz0AmrFLs7XppMrZSsZcxDUuaV4irLnMgoJ6hR6F2Z-w
45,
46,publication/325476178_Serum_miR-29a_and_miR-122_as_Potential_Biomarkers_for_Non-Alcoholic_Fatty_Liver_Disease_NAFLD?_sg=-o1EKHxhKoQXdALSYKPN2_sSDk6ZpNLyROpvzRKtwh1WEVDxwAQYTNSXIuF4FO166WjUlh105HLRLfI
47,publication/329378176_Branding_dams_Nam_Theun_2_and_its_role_in_producing_the_discourse_of_sustainable_hydropower?_sg=mFdQRKL3pMnFZgn9QPbQjGkNrhGKz7ITTHJHRd5VU60m1HpMA-ioTKrwnrWllGrSLFnvNQgdLElXULw
48,publication/326204414_A_man_with_facial_disfigurement?_sg=ZdZnNEYlmx83stDZgKhtm7dyJ63mLzmGTCceZS0Spk_DlN1CGXOv6rIfktAylWBSpca1zg7jUvwOwx4
