date_delivered_year,date_sort_year,author_group,citation_title,affiliation_country,affiliation_city,affiliation_organization,corresponding_author_given_name,corresponding_author_surname,corresponding_author_indexed_name,citation_language,source_country,source_publication_year,source_publisher_name,classificationgroup,dbcollection,ref_count,reference,affiliation,coverDate,aggregationType,author,publicationName,citedby_count,title,publisher,subject_area,abstract_language
2024,2024,Unknown,"Characterization and phylogenetic implications of newly sequenced mitochondrial genomes of cobitid fish Acantopsis Rungthipae (Boyd, Nithirojpakdee &amp; Page, 2017)",China,Nanjing,Nanjing Forestry University,Unknown,Unknown,Sun C.H.,Unknown,China,2025,Unknown,Unknown,Unknown,Unknown,Unknown,"[{'@_fa': 'true', 'affilname': 'Nanjing Forestry University', 'affiliation-city': 'Nanjing', 'affiliation-country': 'China'}]",2025-12-01,Journal,Sun C.H.,Molecular Biology Reports,0,"Characterization and phylogenetic implications of newly sequenced mitochondrial genomes of cobitid fish Acantopsis Rungthipae (Boyd, Nithirojpakdee &amp; Page, 2017)",Molecular Biology Reports,"[{'@_fa': 'true', '@code': '1312', '@abbrev': 'BIOC', '$': 'Molecular Biology'}, {'@_fa': 'true', '@code': '1311', '@abbrev': 'BIOC', '$': 'Genetics'}]",Unknown
2024,2024,Unknown,Genome-wide survey and expression analysis of JAZ genes in watermelon (Citrullus lanatus),China,Luoyang,Luoyang Nongfa Agricultural Biotechnology Co. Ltd,Unknown,Unknown,Li Y.G.,Unknown,China,2025,Unknown,Unknown,Unknown,Unknown,Unknown,"[{'@_fa': 'true', 'affilname': 'Luoyang Nongfa Agricultural Biotechnology Co. Ltd', 'affiliation-city': 'Luoyang', 'affiliation-country': 'China'}]",2025-12-01,Journal,Li Y.G.,Molecular Biology Reports,0,Genome-wide survey and expression analysis of JAZ genes in watermelon (Citrullus lanatus),Molecular Biology Reports,"[{'@_fa': 'true', '@code': '1312', '@abbrev': 'BIOC', '$': 'Molecular Biology'}, {'@_fa': 'true', '@code': '1311', '@abbrev': 'BIOC', '$': 'Genetics'}]",Unknown
2024,2024,Unknown,Mechanistic exploration of ubiquitination-mediated pathways in cerebral ischemic injury,India,Rajpura,"Chitkara University, Punjab",Unknown,Unknown,Khanra S.,Unknown,India,2025,Unknown,Unknown,Unknown,Unknown,Unknown,"[{'@_fa': 'true', 'affilname': 'Chitkara University, Punjab', 'affiliation-city': 'Rajpura', 'affiliation-country': 'India'}]",2025-12-01,Journal,Khanra S.,Molecular Biology Reports,0,Mechanistic exploration of ubiquitination-mediated pathways in cerebral ischemic injury,Molecular Biology Reports,"[{'@_fa': 'true', '@code': '1312', '@abbrev': 'BIOC', '$': 'Molecular Biology'}, {'@_fa': 'true', '@code': '1311', '@abbrev': 'BIOC', '$': 'Genetics'}]",Unknown
2024,2024,Unknown,Giant axonal neuropathy: a rare inherited neuropathy with a novel mutation,Iran,Tabriz,Pediatric Health Research Center,Unknown,Unknown,Poorshiri B.,Unknown,Iran,2025,Unknown,Unknown,Unknown,Unknown,Unknown,"[{'@_fa': 'true', 'affilname': 'Pediatric Health Research Center', 'affiliation-city': 'Tabriz', 'affiliation-country': 'Iran'}]",2025-12-01,Journal,Poorshiri B.,Neurogenetics,0,Giant axonal neuropathy: a rare inherited neuropathy with a novel mutation,Neurogenetics,"[{'@_fa': 'true', '@code': '1311', '@abbrev': 'BIOC', '$': 'Genetics'}, {'@_fa': 'true', '@code': '2804', '@abbrev': 'NEUR', '$': 'Cellular and Molecular Neuroscience'}, {'@_fa': 'true', '@code': '2716', '@abbrev': 'MEDI', '$': 'Genetics (clinical)'}]",Unknown
2024,2024,Unknown,Griscelli Syndrome Type 2: Comprehensive Analysis of 149 New and Previously Described Patients with RAB27A Deficiency,United Kingdom,London,UCL Faculty of Medical Sciences,Unknown,Unknown,Maimaris J.,Unknown,United Kingdom,2025,Unknown,Unknown,Unknown,Unknown,Unknown,"[{'@_fa': 'true', 'affilname': 'UCL Faculty of Medical Sciences', 'affiliation-city': 'London', 'affiliation-country': 'United Kingdom'}, {'@_fa': 'true', 'affilname': 'Great Ormond Street Hospital for Children NHS Foundation Trust', 'affiliation-city': 'London', 'affiliation-country': 'United Kingdom'}]",2025-12-01,Journal,Maimaris J.,Journal of Clinical Immunology,0,Griscelli Syndrome Type 2: Comprehensive Analysis of 149 New and Previously Described Patients with RAB27A Deficiency,Journal of Clinical Immunology,"[{'@_fa': 'true', '@code': '2723', '@abbrev': 'MEDI', '$': 'Immunology and Allergy'}, {'@_fa': 'true', '@code': '2403', '@abbrev': 'IMMU', '$': 'Immunology'}]",Unknown
2024,2024,Unknown,"The bacterial microbiome and cancer: development, diagnosis, treatment, and future directions",Egypt,Cairo,College of Science,Unknown,Unknown,Qasem H.H.,Unknown,Egypt,2025,Unknown,Unknown,Unknown,Unknown,Unknown,"[{'@_fa': 'true', 'affilname': 'College of Science', 'affiliation-city': 'Cairo', 'affiliation-country': 'Egypt'}]",2025-12-01,Journal,Qasem H.H.,Clinical and Experimental Medicine,0,"The bacterial microbiome and cancer: development, diagnosis, treatment, and future directions",Clinical and Experimental Medicine,"[{'@_fa': 'true', '@code': '1300', '@abbrev': 'BIOC', '$': 'Biochemistry, Genetics and Molecular Biology (all)'}, {'@_fa': 'true', '@code': '2700', '@abbrev': 'MEDI', '$': 'Medicine (all)'}]",Unknown
2024,2024,Unknown,Mitochondrial miRNAs and fibromyalgia: new biomarker candidates,Turkey,Izmir,Dokuz Eylül Üniversitesi,Unknown,Unknown,Rasulova K.,Unknown,Turkey,2025,Unknown,Unknown,Unknown,Unknown,Unknown,"[{'@_fa': 'true', 'affilname': 'Dokuz Eylül Üniversitesi', 'affiliation-city': 'Izmir', 'affiliation-country': 'Turkey'}]",2025-12-01,Journal,Rasulova K.,Molecular Biology Reports,0,Mitochondrial miRNAs and fibromyalgia: new biomarker candidates,Molecular Biology Reports,"[{'@_fa': 'true', '@code': '1312', '@abbrev': 'BIOC', '$': 'Molecular Biology'}, {'@_fa': 'true', '@code': '1311', '@abbrev': 'BIOC', '$': 'Genetics'}]",Unknown
2024,2024,Unknown,Nutrigenomics and neurological disorders: exploring diet-brain interactions for cognitive health,Pakistan,Okara,University of Okara,Unknown,Unknown,Waheed A.,Unknown,Pakistan,2025,Unknown,Unknown,Unknown,Unknown,Unknown,"[{'@_fa': 'true', 'affilname': 'University of Okara', 'affiliation-city': 'Okara', 'affiliation-country': 'Pakistan'}]",2025-12-01,Journal,Waheed A.,Neurogenetics,0,Nutrigenomics and neurological disorders: exploring diet-brain interactions for cognitive health,Neurogenetics,"[{'@_fa': 'true', '@code': '1311', '@abbrev': 'BIOC', '$': 'Genetics'}, {'@_fa': 'true', '@code': '2804', '@abbrev': 'NEUR', '$': 'Cellular and Molecular Neuroscience'}, {'@_fa': 'true', '@code': '2716', '@abbrev': 'MEDI', '$': 'Genetics (clinical)'}]",Unknown
2024,2024,Unknown,Characterisation of cytochrome c oxidase-coding genes from mung bean and their response to cadmium stress based on genome-wide identification and transcriptome analysis,China,Lanzhou,Lanzhou Jiaotong University,Unknown,Unknown,Leng Y.,Unknown,China,2025,Unknown,Unknown,Unknown,Unknown,Unknown,"[{'@_fa': 'true', 'affilname': 'Lanzhou Jiaotong University', 'affiliation-city': 'Lanzhou', 'affiliation-country': 'China'}]",2025-12-01,Journal,Leng Y.,Molecular Biology Reports,0,Characterisation of cytochrome c oxidase-coding genes from mung bean and their response to cadmium stress based on genome-wide identification and transcriptome analysis,Molecular Biology Reports,"[{'@_fa': 'true', '@code': '1312', '@abbrev': 'BIOC', '$': 'Molecular Biology'}, {'@_fa': 'true', '@code': '1311', '@abbrev': 'BIOC', '$': 'Genetics'}]",Unknown
2024,2024,Unknown,Hidden diversity revealed by DNA barcoding of paralichthyidae fish along the caribbean and brazilian coast,Brazil,Ouro Preto,Instituto Tecnológico Vale,Unknown,Unknown,Argôlo L.A.,Unknown,Brazil,2025,Unknown,Unknown,Unknown,Unknown,Unknown,"[{'@_fa': 'true', 'affilname': 'Instituto Tecnológico Vale', 'affiliation-city': 'Ouro Preto', 'affiliation-country': 'Brazil'}]",2025-12-01,Journal,Argôlo L.A.,Genetica,0,Hidden diversity revealed by DNA barcoding of paralichthyidae fish along the caribbean and brazilian coast,Genetica,"[{'@_fa': 'true', '@code': '1109', '@abbrev': 'AGRI', '$': 'Insect Science'}, {'@_fa': 'true', '@code': '1103', '@abbrev': 'AGRI', '$': 'Animal Science and Zoology'}, {'@_fa': 'true', '@code': '1311', '@abbrev': 'BIOC', '$': 'Genetics'}, {'@_fa': 'true', '@code': '1110', '@abbrev': 'AGRI', '$': 'Plant Science'}]",Unknown
